Council,No_Of_Connections,Month,Year,Type
Carlow,70,January,2006,County
Cavan,149,January,2006,County
Clare,171,January,2006,County
Cork,588,January,2006,County
Donegal,285,January,2006,County
Dun Laoghaire,241,January,2006,County
Fingal,305,January,2006,County
Galway,324,January,2006,County
Kerry,226,January,2006,County
Kildare,413,January,2006,County
Kilkenny,128,January,2006,County
Laois,234,January,2006,County
Leitrim,153,January,2006,County
Limerick,149,January,2006,County
Longford,89,January,2006,County
Louth,117,January,2006,County
Mayo,253,January,2006,County
Meath,313,January,2006,County
Monaghan,107,January,2006,County
North Tipperary,96,January,2006,County
Offaly,91,January,2006,County
Roscommon,162,January,2006,County
Sligo,155,January,2006,County
South Dublin,562,January,2006,County
South Tipperary,85,January,2006,County
Waterford,78,January,2006,County
Westmeath,132,January,2006,County
Wexford,183,January,2006,County
Carlow,81,February,2006,County
Cavan,208,February,2006,County
Clare,251,February,2006,County
Cork,615,February,2006,County
Donegal,450,February,2006,County
Dun Laoghaire,172,February,2006,County
Fingal,566,February,2006,County
Galway,404,February,2006,County
Kerry,259,February,2006,County
Kildare,335,February,2006,County
Kilkenny,122,February,2006,County
Laois,214,February,2006,County
Leitrim,86,February,2006,County
Limerick,137,February,2006,County
Longford,91,February,2006,County
Louth,164,February,2006,County
Mayo,186,February,2006,County
Meath,312,February,2006,County
Monaghan,95,February,2006,County
North Tipperary,111,February,2006,County
Offaly,176,February,2006,County
Roscommon,160,February,2006,County
Sligo,125,February,2006,County
South Dublin,219,February,2006,County
South Tipperary,132,February,2006,County
Waterford,126,February,2006,County
Westmeath,147,February,2006,County
Wexford,236,February,2006,County
Carlow,113,March,2006,County
Cavan,197,March,2006,County
Clare,264,March,2006,County
Cork,676,March,2006,County
Donegal,342,March,2006,County
Dun Laoghaire,260,March,2006,County
Fingal,550,March,2006,County
Galway,400,March,2006,County
Kerry,260,March,2006,County
Kildare,335,March,2006,County
Kilkenny,119,March,2006,County
Laois,111,March,2006,County
Leitrim,160,March,2006,County
Limerick,146,March,2006,County
Longford,83,March,2006,County
Louth,131,March,2006,County
Mayo,335,March,2006,County
Meath,286,March,2006,County
Monaghan,129,March,2006,County
North Tipperary,144,March,2006,County
Offaly,109,March,2006,County
Roscommon,237,March,2006,County
Sligo,233,March,2006,County
South Dublin,317,March,2006,County
South Tipperary,109,March,2006,County
Waterford,136,March,2006,County
Westmeath,140,March,2006,County
Wexford,276,March,2006,County
Carlow,56,April,2006,County
Cavan,261,April,2006,County
Clare,200,April,2006,County
Cork,554,April,2006,County
Donegal,217,April,2006,County
Dun Laoghaire,138,April,2006,County
Fingal,481,April,2006,County
Galway,348,April,2006,County
Kerry,248,April,2006,County
Kildare,363,April,2006,County
Kilkenny,125,April,2006,County
Laois,151,April,2006,County
Leitrim,122,April,2006,County
Limerick,204,April,2006,County
Longford,144,April,2006,County
Louth,130,April,2006,County
Mayo,234,April,2006,County
Meath,257,April,2006,County
Monaghan,220,April,2006,County
North Tipperary,64,April,2006,County
Offaly,102,April,2006,County
Roscommon,134,April,2006,County
Sligo,170,April,2006,County
South Dublin,181,April,2006,County
South Tipperary,120,April,2006,County
Waterford,123,April,2006,County
Westmeath,116,April,2006,County
Wexford,337,April,2006,County
Carlow,97,May,2006,County
Cavan,201,May,2006,County
Clare,242,May,2006,County
Cork,702,May,2006,County
Donegal,365,May,2006,County
Dun Laoghaire,251,May,2006,County
Fingal,484,May,2006,County
Galway,307,May,2006,County
Kerry,247,May,2006,County
Kildare,476,May,2006,County
Kilkenny,154,May,2006,County
Laois,169,May,2006,County
Leitrim,99,May,2006,County
Limerick,170,May,2006,County
Longford,90,May,2006,County
Louth,233,May,2006,County
Mayo,194,May,2006,County
Meath,414,May,2006,County
Monaghan,103,May,2006,County
North Tipperary,88,May,2006,County
Offaly,110,May,2006,County
Roscommon,195,May,2006,County
Sligo,191,May,2006,County
South Dublin,271,May,2006,County
South Tipperary,113,May,2006,County
Waterford,157,May,2006,County
Westmeath,147,May,2006,County
Wexford,388,May,2006,County
Carlow,125,June,2006,County
Cavan,248,June,2006,County
Clare,324,June,2006,County
Cork,602,June,2006,County
Donegal,439,June,2006,County
Dun Laoghaire,278,June,2006,County
Fingal,399,June,2006,County
Galway,368,June,2006,County
Kerry,417,June,2006,County
Kildare,370,June,2006,County
Kilkenny,114,June,2006,County
Laois,176,June,2006,County
Leitrim,194,June,2006,County
Limerick,196,June,2006,County
Longford,83,June,2006,County
Louth,168,June,2006,County
Mayo,230,June,2006,County
Meath,337,June,2006,County
Monaghan,101,June,2006,County
North Tipperary,148,June,2006,County
Offaly,106,June,2006,County
Roscommon,162,June,2006,County
Sligo,158,June,2006,County
South Dublin,356,June,2006,County
South Tipperary,107,June,2006,County
Waterford,117,June,2006,County
Westmeath,138,June,2006,County
Wexford,217,June,2006,County
Carlow,158,July,2006,County
Cavan,308,July,2006,County
Clare,195,July,2006,County
Cork,702,July,2006,County
Donegal,350,July,2006,County
Dun Laoghaire,134,July,2006,County
Fingal,488,July,2006,County
Galway,470,July,2006,County
Kerry,375,July,2006,County
Kildare,510,July,2006,County
Kilkenny,111,July,2006,County
Laois,168,July,2006,County
Leitrim,130,July,2006,County
Limerick,253,July,2006,County
Longford,85,July,2006,County
Louth,279,July,2006,County
Mayo,273,July,2006,County
Meath,311,July,2006,County
Monaghan,75,July,2006,County
North Tipperary,121,July,2006,County
Offaly,108,July,2006,County
Roscommon,144,July,2006,County
Sligo,209,July,2006,County
South Dublin,158,July,2006,County
South Tipperary,118,July,2006,County
Waterford,143,July,2006,County
